"","ranking","id_cliente","afinidad","compras_producto","productos_similares_comprados"
"1",1,"7d51782b181a98526636f750e25c88d0",0.602695055724029,2,144
"2",2,"f7953e35e9f50a4dcfca1d157056d750",0.583346568539915,4,100
"3",3,"c0a6c96c34310f8d7884908afa9a1fc9",0.582900711738895,5,529
"4",4,"224555500b1601f7db77dd6f371f80b9",0.575887221306292,1,1
"5",5,"9b42f2aba9ae6e7bd46e1793fd990dde",0.574728011504834,3,121
"6",6,"56eabb2cee948164150cffe2d985110a",0.568234645587548,4,1
"7",7,"f9af0dc756d43357dafdc68607d7d943",0.565243843991434,4,9
"8",8,"8141861247501dfd4d4c2ea43e4de7b7",0.530384926057795,3,4
"9",9,"00bd944c410cdef7fc64b3bf0ac5cd10",0.526074589318117,0,25
"10",10,"d68f7d46fb95daf0ee62f95081a7c326",0.524135153016743,1,16
